MID,UID,评论时间,评论内容,评论人UID,评论人昵称,评论人个性签名,关注数量,粉丝数量,点赞数量,作品数,IP所属
4324841614041646	,5893658401	,2019-01-04 20:47:45,[1]http://t.cn/EGq8Hpv ,5893658401,免单线报君,一个既能省钱又能赚钱的微博，专注于免单、漏洞券及各种内部优惠券,25432,66,0,91323,北京 西城区
4325841108494133	,5584816354	,2019-01-07 14:59:23,[1]http://t.cn/EGWUvqB ,5584816354,酸甜咸小白菜,群促网资深导购 quncu.com,134,106,0,53201,河南
4325841104299123	,6722589854	,2019-01-07 14:59:22,[1]http://t.cn/EGWUv5v ,6722589854,一墨装修,实体公司，有自己的设计施工团队。 价格虽低，质量效果绝对行业领先。,76933,182,0,42499,河南
4325841103763132	,2353539157	,2019-01-07 14:59:22,[1]http://t.cn/EGWUv5h ,2353539157,猫咪官网,网站付费广告，请私信。,152901,162,0,55530,河南 郑州
4325841103763032	,2334937291	,2019-01-07 15:44:28,质量好,2170828001,真0开0玩0笑,喜欢音乐,181,482,0,6329,福建 莆田
4325841103763032	,2334937291	,2019-01-07 14:59:22,[1]http://t.cn/EGWUvqw ,2334937291,菠萝,商务广告合作，联系V：158115861,166200,408,4,101027,北京
4325841103762894	,6467529864	,2019-01-07 14:59:22,[1]http://t.cn/EGWUvqX ,6467529864,遗憾留言板,此博为遗憾而来，为希望所去！,72,27,0,50038,其他
4325831612039577	,1994972830	,2019-01-07 14:21:34,领券下单：http://t.cn/EGOehSo  → →[微风]复制本信息，(YA5DbqZ1OaC)，打开“陶宝”即可下单,1994972830,分享一下,爱足球 爱购物 爱生活，滚动播出淘宝天猫，白菜，优惠，免单各种活动,1744,726,0,19527,上海 长宁区
4325830337697424	,1955136070	,2019-01-07 14:16:26,http://t.cn/RBSYVzl如果地址打不开就复制这条信息，(x9PubqZaBK1) ，打开【手淘】即可,1955136070,万物心选棒棒糖,邀请码：515323，✨：qingma626,155499,60,0,95587,山东 济南
4325802386337840	,6347522407	,2019-01-07 12:25:27,（1）领/拍:http://t.cn/EG0R3M5    （2）领/拍:http://t.cn/EG0nkiH    （3）领/拍:http://t.cn/EG0e8iJ    （4）领/拍:http://t.cn/EGOPbYP    （5）领/拍:http://t.cn/EGO2CJP,6347522407,泉泉爱学习,课程内容每天更新，加微信：qq10545135,97,928,0,7327,浙江
4326231623540034	,1926776822	,2019-01-08 16:51:03,复制这条信息，(3ZFXbqgySlM) ，打开【手淘】即可查看,1926776822,美团圈圈达人社,美团圈圈，分享生活圈！,215271,638,0,17472,福建 泉州
4333040278823200	,6375280630	,2019-01-27 12:03:38,亲： 非常抱歉给您带来不便了，使用中有任何问题和建议，欢迎私信小四妹儿，也可戳这里：http://t.cn/RImuk6Y无缝对接可爱的在线客服，感谢您的支持。,2822591784,四川移动10086,最新的移动行业动态、最热的优惠活动资讯，还有最萌在线客服等着你，尽在@四川移动10086官方微博。亲们使用中有任何问题和建议，可以私信小四妹儿，服务时间为：周一至周五8:30-17:30（法定节假日除外），其余时间亲们可以留言，小四妹儿上线后将一一回复，感谢大家的支持。,161185,197,0,3625,四川
4351221466741426	,1141583730	,2019-03-18 16:13:01,您好，非常抱歉给您造成不良感知，为了保障您的信息安全和更好的了解相关情况，亲可将您遇到问题的互联网电视账号、联系方式私信与我们说明，我们第一时间为您核实处理，感谢您的支持与理解！[心],1925535860,福建移动10086官方微博,中国移动福建公司客服中心为您提供便捷的服务渠道： ★网上营业厅：http://www.fj.10086.cn 或上网搜索“福建移动” ★掌上营业厅：手机登录 wap.fj.10086.cn 或发送“WAP”至10086 ★短信营业厅：发送“10086”至10086 发短信就可办理业务或直接编辑中文指令发送到10086★24小时自助终端：在实体营业厅的自助终端机进行交费或业务查询办理。福建移动将以优质的服务为您提供全面的通信服务！ 记得关注@福建移动10086 哦~~,161749,393,0,34078,福建
4351221466741426	,1141583730	,2019-03-18 16:08:25,您好，非常抱歉给您带来不良感知，请将您的联系方式和具体问题通过私信告知我们，我们会尽快帮您核实的，谢谢！,1991428685,中国移动10086,给大家提供满意的服务，我们是专业的⁄(⁄ ⁄•⁄ω⁄•⁄ ⁄)⁄,19948804,559,0,51612,北京
4351508377996332	,6675313487	,2019-03-19 10:55:35,转发微博,6609392126,茗月折,我负责搭配你负责穿👙,13113,2586,0,69514,其他
4360021217713797	,2121773547	,2019-04-12 08:50:48,您好，很抱歉给您带来不愉快的体验，请您将遇到的问题、出现问题的号码，以及联系方式发送私信给我们，我们的工作人员会尽快为您核实处理。我们会不断完善提升我们各项服务，感谢您对中国移动的支持！,2001627641,中国移动,你的围脖好友、身边的通信专家，又和你见面啦！在这里，中国移动“和”你一起，分享新业务、新服务与新技术。感谢有你，一路相伴~了解更多资讯，请登录www.10086.cn,11837699,648,1,53544,北京 西城区
4378471990044640	,2743608742	,2019-06-18 06:40:52,就是这遥控器你无论怎么样都是控制不了电视，这就是忽悠你的，我这边也是这种情况。,2743608742,手机用户2743608742,用心对待，用事实说话，做个诚实公民。,10,48,0,57,江苏 盐城
4395459768030793	,6432322121	,2019-07-18 17:39:05,  http://t.cn/Ail2RLof  ,6432322121,放羊小伙成一真,没事放放羊，吹牛不撒谎。,24759,247,0,19384,西藏
4401218220524588	,1832196261	,2021-02-09 18:05:21,可以携号转网了,2097277654,冥王星上的老风车,,69,48,0,24,福建 三明
4401218220524588	,1832196261	,2019-08-04 07:04:18,捆绑,1567810002,tianqichao,墙内。双休日宅男。,1360,549,0,5847,福建 三明
4403000149673856	,2257032740	,2019-08-12 16:20:04,您好，您可以看看电视盒子的型号，然后去网站搜索适配的遥控器呀,1973576367,广东移动,本微博内容涉及网络的介绍以当时当地实际网络状况为准，涉及手机等终端的介绍以用户实际购买协议为准，涉及业务产品等其他相关内容以实际办理为准。本微博广告为要约邀请，而非要约。,7341050,117,0,458,广东
4405946623088242	,2934280947	,2019-08-16 16:11:01,拍12大洋的选项,2934280947,秒回你的菜,我们不一样~~找啥？直接聊我，人肉走心给你找。,7409,542,0,38163,广东 广州
4405946623088242	,2934280947	,2019-08-16 16:10:46,下，(FMGdYQheNqP),2934280947,秒回你的菜,我们不一样~~找啥？直接聊我，人肉走心给你找。,7409,542,0,38163,广东 广州
4413237736730207	,2585135767	,2019-09-16 14:10:31,被移动这样的消费套路搞得，心好累 怎么说呢，移动售前还行，售后就真的无目看 办个套餐容易，要取消就各种理由各种扯皮  最讨厌的还是客服说权限不够不能取消，官腔一大堆,5425835471,见我所见抒所思,背着生存压力找自我,39,10,1,20,其他
4413237736730207	,2585135767	,2019-09-06 09:14:23,您好，很抱歉给您带来不愉快的心情，请您通过私信提供一下您的号码和具体问题，我们会进一步详细了解并核实，感谢您的支持。,1991428685,中国移动10086,给大家提供满意的服务，我们是专业的⁄(⁄ ⁄•⁄ω⁄•⁄ ⁄)⁄,19948799,559,0,51612,北京
4413237736730207	,2585135767	,2019-09-05 19:06:24,取消了还是扣费了，真和强盗一样。中国有你们真是丢脸。[怒骂]@中国移动10086@中国移动  @中国政府网 @人民网舆情数据中心 @中国评论通讯社 @环球时报 @315消费保 http://t.cn/AiRnKYLZ,2585135767,网罗开开,猜猜吧,220,162,0,462,湖北
4425899304339359	,6033638289	,2019-10-11 16:32:08,亲，这种情况可以上黑猫哦，我们会为您持续跟进的   http://t.cn/RreNEQP 新浪网旗下专门解决消费纠纷的利民平台,6421111471,黑猫投诉,,2479613,559,0,39299,北京
4425899304339359	,6033638289	,2019-10-10 17:36:56,移动营业厅人员  直接说100兆和200兆基本没有区别   网速也就那样！生气   一下午2小时最少有5个以上去升级的  大家付被欺骗！,6033638289,知足常乐68141,知足常乐者悦载万事,38,66,0,31,其他
4427679434521878	,2107304135	,2019-10-15 15:28:32,[1]http://t.cn/AiugngQK ,2107304135,大白菜狸哥,"无论找任何淘宝内部券,可以搜下就找到了http://www.tquaner.com/",11695,488,0,144825,北京 东城区
4430847446671080	,6389254405	,2019-10-27 14:56:11,我也是 副卡是我弟在用 本来是说主卡有免费三个月的某咕会员  我也一直没用过 三个月之后我打电话过去取消了  到了第四个月我的主卡手机号是没有某咕会员了 tmd给我转到副卡继续扣费？把连续包月取消了还没用 还必须要拿着副卡到营业厅取消 而且我的套餐是98的 每个月固定给我扣100+ 真tm服了,5537836938,GD_strawberry,,116,44,0,238,广西 柳州
4430847446671080	,6389254405	,2019-10-24 11:35:27,移动经常乱办业务扣费，而且扣费没有短信通知，只要不查话费，连知道也不知道，被扣停机了才知道,2105466285,a小蝴蝶小披风,,193,340,0,6359,陕西 西安
4430847446671080	,6389254405	,2019-10-24 11:04:41,您好，很抱歉给您带来不愉快的心情，请您通过私信提供一下您的号码和具体问题，我们会进一步详细了解并核实，感谢您的支持。,2001627641,中国移动,你的围脖好友、身边的通信专家，又和你见面啦！在这里，中国移动“和”你一起，分享新业务、新服务与新技术。感谢有你，一路相伴~了解更多资讯，请登录www.10086.cn,11837696,648,0,53544,北京 西城区
4439674971639670	,1809677972	,2020-01-04 11:21:54,我家的老网络连接，网都好使，就是登录失败,2609052801,1stpcL,不许生气,489,291,0,2300,其他
4439674971639670	,1809677972	,2019-11-18 08:55:15,您好，很抱歉给您带来不愉快的心情，请您通过私信提供一下您的号码和具体问题，我们会进一步详细了解并核实，感谢您的支持。,1991428685,中国移动10086,给大家提供满意的服务，我们是专业的⁄(⁄ ⁄•⁄ω⁄•⁄ ⁄)⁄,19948799,559,0,51612,北京
4439674971639670	,1809677972	,2019-11-17 18:01:38,换电信,1885842344,银川嘎子,正宗银川人，正宗好嘎子！,16025,328,0,9621,宁夏 银川
4442207219883370	,6097203699	,2019-11-25 18:02:12,亲，为保护您的隐私，您可以私信我们，以便小编核实处理，感谢您的支持！,1932516703,辽宁移动10086官方微博,全心全意 只为您10分满意！,2177411,217,0,853,辽宁
4443543634370415	,2190554533	,2019-11-28 10:07:14,买买买~ :http://t.cn/AigtPotL,2190554533,找券多多,我叫多多，资深剁手党一枚，寻找优惠劵产品是我最大的兴趣，欢迎剁手党关注~~,208165,60,0,157132,广东 广州
4446833273724257	,3606949911	,2019-12-07 14:22:44,不要在别人的眼光里找快乐，否则永远悲哀；,3024584024,-失恋信箱-,,183051,4732,0,7947,湖北
4446833273724257	,3606949911	,2019-12-07 13:31:39,太秀了！小朋友提前走上了“人生巅峰”！学了少儿编程的，小朋友不但可以设计小机器人，而且还能升学特招，更对孩子的前程有着不可估量的影响！,7299909665,奇码星球,学少儿编程，请咨询我呦。,4109,4976,0,383,浙江
4446833273724257	,3606949911	,2019-12-07 12:13:35,酷,6559124342,心动·海盐出逃,内心宁静，则幸福,252,299,0,23804,其他
4446833273724257	,3606949911	,2019-12-07 12:11:28,2019陕西体育博览会小机器人走红,6091745067,得福轩HM,商务合作wx：jzqingjie58,577551,2249,0,20636,湖北 武汉
4446833273724257	,3606949911	,2019-12-07 12:09:22,小机器人太可爱了,6887659349,然后然后就没了67587,,1391,15351,0,35559,江苏
4446833273724257	,3606949911	,2019-12-07 12:09:17,期待着精彩表现出来，科技进步，日新月异，祝贺#一带一路伴我行[超话]##微盘点# ,1294811905,大海故乡PMPMBA,"PMP,项目管理咨询，体系审核，PMP案例，管理诊断，工程EPCPMCPC管理",43468,17494,0,121146,其他
4446833273724257	,3606949911	,2019-12-07 12:08:04,小机器人好可爱,6074111597,ZZZdididi,一直在转发，从未中过奖,12580,1691,0,211,北京 东城区
4446833273724257	,3606949911	,2019-12-07 12:07:26,中国移动5g. 我这里还用不上,5902411926,玩相機的小楊,hi起来,1388,3026,0,248566,广东
4446833273724257	,3606949911	,2019-12-07 12:05:07,#中国移动5G正式商用#支持支持支持支持 http://t.cn/EKjitmM,2837157583,暴富了没有,发财了,11539,5698,0,87437,北京
4446833273724257	,3606949911	,2019-12-07 12:05:02,期待5G新时代，畅想网络！,3948764988,天使之吻566,风雨人生，淡然在心，茫茫人海，相遇就是缘！,37210,2410,0,142925,湖南
4446833273724257	,3606949911	,2019-12-07 12:04:04,转发微博,6074682551,故居呀,,798,246,0,808,四川
4446833273724257	,3606949911	,2019-12-07 12:03:46,真是太厉害了，让我们看到科技力量都伟大，真是太棒了。,6322619459,悠悠饮水,搞笑幽默故事,25813,5025,0,64197,辽宁
4446833273724257	,3606949911	,2019-12-07 12:02:51,了解,5991460365,AL孤臣,看你看傻眼,459,257,0,4008,广东
4446833273724257	,3606949911	,2019-12-07 12:02:50,5G很快的速度,2447276532,心情好坏自已知,一个能从别人的观念来看事情，能了解别人心灵活动的人永远不必为自己的前途担心。,1166,295,0,18991,广东
4446833273724257	,3606949911	,2019-12-07 12:02:47,科技的力量真是伟大，让我们感受到生活的美好。,2263742031,琪琪和珃珃的Dady,孤云出岫，去留一无所系；朗镜悬空，静躁两不相干。,1115,1261,0,107329,山东
4446833273724257	,3606949911	,2019-12-07 12:02:31,好炫酷的机器人，好美好的科技生活,2162922680,体坛学妹,未来巨星姆巴佩！！！！,2359,12549,0,64458,安徽 合肥
4446833273724257	,3606949911	,2019-12-07 12:02:21,厉害了,6038397531,长欢哇,,369,1364,0,2,湖南 长沙
4446833273724257	,3606949911	,2019-12-07 12:02:22,好可爱的小机器人,2723870311,彭彭最可爱,,140,228,0,86,河南 郑州
4446833273724257	,3606949911	,2019-12-07 12:02:12,一起来享受了！5G时代不一样的体验！ 新的生活[心][心][心],6006829010,薛同学hany,微博 记录柠檬精的生活 爱薛之谦,3607,1375,0,17026,上海
4446833273724257	,3606949911	,2019-12-07 12:01:54,这黑科技太厉害了！,2974261084,四季寻踪,撸起袖子加油干！,1433,8283,0,231588,广东
4446833273724257	,3606949911	,2019-12-07 12:01:47,哇，好酷的样子5g都用在科技上了啊,3207546511,我是阿惠啊,拾饰--我是你们的美丽啊👯,963,1256,0,10997,广东 深圳
4446833273724257	,3606949911	,2019-12-07 12:01:45,厉害👍 厉害👍,5788749355,小纪烟袋2857,不以物喜不以己悲,3715,10929,0,68854,上海
4446833273724257	,3606949911	,2019-12-07 12:01:31,不错不错,7333197962,_林文凤_,我是不一样的烟火,3331,355,0,34286,其他
4446833273724257	,3606949911	,2019-12-07 12:01:11,这小机器人好可爱啊,5027427977,一直会飞的鹤,,118,207,0,213,河南 郑州
4447609420311532	,2607226734	,2019-12-09 15:50:32,看看,5890183211,回忆的轮廓,自己开心最重要，肖战开心很重要,176,312,0,2428,北京
4447609420311532	,2607226734	,2019-12-09 15:23:11,[1]http://t.cn/AieTYtgA ,2607226734,没得比APP,微信 qigusiji。中立的高性价比网购商品分享、推荐平台，始于2011年，11年坚持只做一件事。网购，省钱，没得比。,524171,487,0,425402,广东
4447860172565504	,5645578495	,2019-12-10 08:02:19,复制这条信息，$BJLuYBqly6t$，到【手机淘宝】即可查看 ​​​,5645578495,愿所得皆所愿啊,嘿！生活随遇而安😊,112945,146,0,25115,浙江
4452239513462729	,7353185991	,2019-12-22 14:40:43,您好，具体情况您可详细说明下，如方便的话，能否将您的联系方式私信小编，我们会尽快联系相关部门帮您核实处理。,2294213187,sdydzxkf01,,195,126,0,205,山东 济南
4457382081611032	,2697908461	,2020-01-05 16:52:44,您好，很抱歉给您带来不愉快的心情，请您通过私信提供一下您的号码和具体问题，我们会进一步详细了解并核实，感谢您的支持。,2001627641,中国移动,你的围脖好友、身边的通信专家，又和你见面啦！在这里，中国移动“和”你一起，分享新业务、新服务与新技术。感谢有你，一路相伴~了解更多资讯，请登录www.10086.cn,11837696,648,0,53544,北京 西城区
4467815912535734	,2190554533	,2020-02-03 09:36:35,买买买~ :http://t.cn/A6PjAcOx,2190554533,找券多多,我叫多多，资深剁手党一枚，寻找优惠劵产品是我最大的兴趣，欢迎剁手党关注~~,208165,60,0,157132,广东 广州
4467857041624061	,6348169302	,2020-02-03 12:19:51,"http://t.cn/A6PjWHB7，打不开的话,復.制这条,打开【手.掏】即可€EI2T1WDqLPA€",6348169302,45擦肩而过,人的智慧掌握着三把钥匙，一把开启数字，一把开启字母，一把开启音符。知识、思想、幻想就在其中。,150327,117,0,42488,湖南 常德
4468047719156302	,6053617812	,2020-02-04 01:37:57,加油老友,1658656622,数码傅姐,蝴蝶香妃,40556,2007,0,16775,上海
4468047719156302	,6053617812	,2020-02-04 01:06:45,[干杯],5927657552,恋爱情感挽回大师-伊琳,挽回前任、冷战、复婚复合、失恋心理指导、撩拨技巧等情感问题咨询唯❤112661884,73287,10007,0,6429,江苏
4468047719156302	,6053617812	,2020-02-04 00:59:04,[干杯],6916191187,Liuop55,,108255,553,0,719,四川
4468047719156302	,6053617812	,2020-02-04 00:58:33,[笑哈哈],7258490182,熊熊旅行日记,"有人说旅行是逃避现实,而我认为旅行是寻找现实。跟着我一起去旅行吧！ vx:chenqyz",19984,424,0,5079,四川 成都
